well,electrode,mean_spikes,median_spikes,std_spikes,min_spikes,max_spikes,total_spikes,frac_nonzero,n_measurements
29,9,56.048780487804876,4.0,196.79070858736617,0.0,1204.0,2298,0.9024390243902439,41
29,10,253.5121951219512,13.0,541.562964920267,0.0,2631.0,10394,0.926829268292683,41
29,11,260.9024390243902,7.0,685.2854418585874,1.0,3180.0,10697,1.0,41
29,12,160.5121951219512,44.0,289.47691444676633,0.0,1487.0,6581,0.9512195121951219,41
29,13,283.1707317073171,23.0,455.3561941311559,0.0,2061.0,11610,0.9512195121951219,41
29,14,144.7560975609756,8.0,301.51566561152543,0.0,1318.0,5935,0.926829268292683,41
29,15,435.1707317073171,40.0,903.5197003383295,0.0,4031.0,17842,0.9024390243902439,41
29,16,388.6585365853659,56.0,560.607058149145,0.0,1774.0,15935,0.926829268292683,41
30,1,5.878048780487805,3.0,11.756046958700933,0.0,57.0,241,0.8536585365853658,41
30,2,28.682926829268293,3.0,67.44769934943098,0.0,340.0,1176,0.9024390243902439,41
30,3,863.780487804878,290.0,1103.8250902489835,0.0,4975.0,35415,0.9512195121951219,41
30,4,204.4390243902439,13.0,474.4242749095354,0.0,1897.0,8382,0.9512195121951219,41
30,5,21.390243902439025,5.0,36.126389279577005,0.0,140.0,877,0.9024390243902439,41
30,6,4.073170731707317,2.0,13.804188554702426,0.0,91.0,167,0.8780487804878049,41
30,7,494.4390243902439,62.0,819.0427204909962,0.0,3332.0,20272,0.975609756097561,41
30,8,102.04878048780488,4.0,192.53000415133425,0.0,688.0,4184,0.9024390243902439,41
30,9,2188.7804878048782,1069.0,2274.7636758755157,0.0,7315.0,89740,0.926829268292683,41
30,10,5.219512195121951,3.0,10.680532084859111,0.0,68.0,214,0.926829268292683,41
30,11,11.195121951219512,3.0,26.580039743950838,0.0,119.0,459,0.926829268292683,41
30,12,7.658536585365853,3.0,19.841579594005285,0.0,120.0,314,0.9024390243902439,41
30,13,8.487804878048781,3.0,13.321762776529335,0.0,57.0,348,0.975609756097561,41
30,14,10.317073170731707,2.0,44.86480451441416,0.0,293.0,423,0.8780487804878049,41
30,15,36.02439024390244,3.0,106.23432172529307,0.0,657.0,1477,0.9512195121951219,41
30,16,572.170731707317,3.0,940.0996029855619,0.0,3626.0,23459,0.9024390243902439,41
31,1,906.829268292683,34.0,1324.4424856066616,0.0,4570.0,37180,0.9512195121951219,41
31,2,9.170731707317072,3.0,30.393277850356892,0.0,197.0,376,0.9512195121951219,41
31,3,42.53658536585366,3.0,179.100339442281,0.0,1136.0,1744,0.9024390243902439,41
31,4,1661.5365853658536,703.0,1853.7730160413316,0.0,5060.0,68123,0.975609756097561,41
31,5,40.292682926829265,3.0,94.18825049774675,0.0,450.0,1652,0.8780487804878049,41
31,6,2.0,2.0,1.4650397480664592,0.0,6.0,82,0.8536585365853658,41
31,7,68.82926829268293,3.0,211.9307183663319,0.0,961.0,2822,0.8292682926829268,41
